Aluno,Lab,PP_Delete,Duracao,PP_Paste,Qntd_Linhas,Linhas_Log,Qntd_Linhas_Filtrado,Nota,Submissoes,Testes
1571,1017,2.9400000000000004,891242,0.01,44,2246,35,0.0,30,30
1571,1031,1.74,46409,0.060000000000000005,140,3173,61,0.0,18,18
1571,1043,2.18,1348438,0.02,144,12781,76,0.0,58,308
1571,1056,0.35,2181,0.0,38,919,26,0.0,3,19
1571,1083,2.39,953360,0.02,152,10545,88,0.0,77,452
1571,1085,0.54,376480,0.01,31,2676,19,0.0,17,88
1571,1095,0.56,7289,0.0,41,4054,31,0.0,6,66
1571,1118,1.46,576099,0.03,139,12320,106,0.0,25,307
1571,1145,0.53,4788,0.01,34,2523,30,0.0,13,99
1571,1198,0.39,2947,0.0,27,1267,13,0.0,3,24
1571,1244,1.97,655547,0.01,162,10003,115,0.0,17,183
1571,1265,1.1600000000000001,1902849,0.0,204,5473,101,0.0,9,134
1571,1301,0.27,2251,0.0,13,1478,6,0.0,0,33
1591,1018,2.34,83665205,0.0,35,2290,29,0.0,106,103
1591,1037,2.6300000000000003,2534732,0.05,189,12402,91,0.0,192,148
1591,1048,2.09,35363411,0.01,121,6138,80,0.0,56,135
1591,1061,0.73,779119,0.0,16,1715,8,0.0,2,50
1591,1086,2.32,2870194,0.01,170,7707,90,0.0,41,208
1591,1092,0.93,862289,0.12,76,4814,45,0.0,25,155
1591,1100,0.42000000000000004,4060,0.01,45,1274,29,0.0,3,18
1591,1135,2.6100000000000003,2319499,0.09999999999999999,331,14051,231,0.0,42,219
1591,1136,1.6500000000000001,31885633,0.08,225,9717,190,0.0,31,162
1591,1150,0.31,7085390,0.02,54,3104,35,0.0,6,43
1591,1169,1.29,862797,0.84,183,994,139,0.0,29,89
1591,1186,1.02,4404487,0.04,200,5186,189,0.0,17,64
1591,1188,0.36,5449,0.0,19,849,14,0.0,9,38
1591,1211,1.34,452558,0.32000000000000006,166,4592,153,0.0,28,75
1591,1216,0.0,71,1.1600000000000001,102,61,98,0.0,9,24
1591,1234,0.31,2374,0.0,14,931,12,0.0,5,31
1591,1251,0.74,3762048,0.6500000000000001,220,1181,168,0.0,12,38
1591,1252,0.0,1283017,1.3200000000000003,98,105,89,0.0,10,25
1591,1270,0.33,6304,0.0,46,2003,38,0.0,6,16
1591,1289,0.48,1541,1.4500000000000002,260,312,177,0.0,18,33
1591,1305,0.38,4239,0.0,21,1176,19,0.0,2,13
1591,1312,0.41,940,0.15000000000000002,44,193,36,0.0,2,11
1599,1021,3.45,290353,0.28,47,2370,41,0.0,28,27
1604,1015,3.85,2360,0.0,37,1350,31,0.0,40,38
1604,1042,2.0900000000000003,2142899,0.09999999999999999,108,4097,83,0.0,26,63
1604,1044,0.61,462,0.0,17,276,6,0.0,0,1
1604,1066,0.55,760,0.0,7,1239,5,0.0,5,11
1604,1109,0.38,1970,0.01,28,868,24,0.0,7,34
1604,1151,0.44,2922,0.0,15,1549,9,0.0,1,5
1604,1156,2.08,596755,0.03,143,5659,108,0.0,61,122
1604,1181,0.22,1524,0.0,10,460,9,0.0,8,28
1604,1195,0.0,80,1.1,135,74,110,0.0,9,23
1604,1223,0.32,5475,0.0,21,1239,21,0.0,7,41
1604,1236,0.42,916,1.2100000000000002,215,176,169,0.0,18,55
1604,1261,0.2,595984,1.07,186,95,127,0.0,9,23
1604,1279,0.51,7901,0.11,29,934,24,0.0,15,34
1604,1298,0.57,4578,0.02,35,1042,32,0.0,22,78
1683,1017,2.8200000000000003,1981,0.0,51,1349,46,0.0,20,35
1683,1031,2.2800000000000002,20712,0.03,110,2928,57,0.0,11,14
1683,1043,2.33,240758,0.04,61,2828,60,0.0,15,78
1683,1056,0.47,8072,0.01,36,4548,28,0.0,3,131
1683,1083,2.2199999999999998,34701,0.0,114,3670,77,0.0,14,60
1683,1085,1.0999999999999999,3260528,0.01,45,1664,42,0.0,10,33
1683,1095,0.74,1783,0.0,23,1217,22,0.0,2,14
1683,1118,2.33,515091,0.04,258,17110,219,0.0,49,236
1683,1123,1.58,11327,0.0,80,6050,75,0.0,13,102
1683,1145,0.73,6039,0.02,74,4596,72,0.0,13,36
1683,1162,3.12,938924,0.0,144,10862,117,0.0,19,240
1683,1172,0.96,37711,0.0,38,3522,37,0.0,1,84
1683,1183,0.7,10364,0.02,30,2954,29,0.0,11,113
1683,1198,2.45,3685727,0.0,184,16656,169,0.0,46,291
1683,1212,3.27,2013617,0.08,139,24128,138,0.0,31,314
1683,1225,0.8,12292,0.01,32,4014,32,0.0,10,142
1683,1244,2.7600000000000002,1969193,0.0,194,14068,169,0.0,39,266
1683,1258,0.69,14570,0.0,47,3854,43,0.0,6,102
1683,1265,2.28,436350,0.16000000000000003,234,12444,169,0.0,70,211
1683,1301,0.64,11669,0.0,44,3713,38,0.0,6,69
1719,1013,2.12,210692,0.04,34,2537,29,0.0,70,28
1719,1030,2.02,827122,0.0,84,3072,40,0.0,17,67
1719,1053,0.6000000000000001,8775,0.0,16,1556,14,0.0,7,46
1719,1076,0.49,997,0.0,21,400,9,0.0,2,11
1719,1119,0.7300000000000001,3262,0.0,60,2395,36,0.0,8,57
1719,1146,0.9400000000000001,9442,0.0,66,4830,60,0.0,8,87
1770,1043,0.21,395,0.0,6,400,5,0.0,1,10
1900,1044,0.67,2383,0.0,20,1423,6,0.0,3,0
1913,1038,0.49,3180,0.0,37,1924,14,0.0,3,1
1985,1012,0.4,161,0.11,6,104,6,0.0,0,0
1985,1130,0.33999999999999997,3168,0.03,31,1157,25,0.0,2,14
2006,1021,1.9500000000000002,703209,0.0,49,2726,43,0.0,47,42
2006,1039,0.03,761,0.0,17,73,6,0.0,0,1
2006,1069,0.15,692,0.0,10,350,5,0.0,0,0
2013,1021,2.2600000000000002,810210,0.26,50,2164,44,0.0,39,32
2013,1039,2.93,168715,0.09,181,9300,74,0.0,12,101
2013,1069,0.0,9,0.0,1,5,0,0.0,0,0
