Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Corretos,Incorretos,Branco,Nota
2402,696,46424.2,9.8,9.4,3.2,1.0,0.0,0.116,261.2,5,0,0,10.0
2402,715,4209.333333333333,13.333333333333336,12.0,29.66666666666667,1.6666666666666667,0.0,0.2833333333333333,738.6666666666665,2,0,1,6.66667
2402,734,217127.5,26.6,18.1,17.8,1.4,0.002,0.40299999999999997,547.0,10,0,0,10.0
2402,752,526.0,4.0,2.0,0.0,0.0,0.0,0.44,216.0,0,0,3,0.0
2402,757,2635.0,14.666666666666664,12.0,7.0,1.3333333333333333,0.0,0.2866666666666667,557.3333333333334,3,0,0,10.0
2403,413,13040.230769230771,2.6153846153846154,2.0769230769230766,5.153846153846153,1.9230769230769231,0.013846153846153843,0.23153846153846155,90.6153846153846,13,0,1,9.28571
2403,436,439862.58333333326,11.5,5.666666666666668,6.25,1.75,0.01,0.2225,303.3333333333333,11,1,0,9.16667
2403,475,2684.5,10.0,6.5,18.0,2.0,0.005,0.39,892.0,2,0,0,10.0
2403,503,61800.222222222226,14.444444444444445,9.333333333333334,10.666666666666666,3.7777777777777777,0.004444444444444445,0.21111111111111114,591.5555555555555,9,0,0,10.0
2403,504,139078.66666666663,10.166666666666666,9.166666666666666,11.666666666666664,8.166666666666666,0.005,0.2366666666666667,430.66666666666674,4,1,1,6.66667
2403,525,2945.0,10.0,9.5,26.5,2.5,0.0,0.205,596.0,2,0,0,10.0
2403,552,1660.666666666667,12.833333333333336,10.833333333333336,15.166666666666664,2.333333333333333,0.01,0.22166666666666668,710.3333333333335,3,0,3,5.0
2403,553,1732.111111111111,19.444444444444443,13.0,11.666666666666664,2.2222222222222223,0.0033333333333333327,0.1922222222222222,781.1111111111112,7,0,2,7.77778
2403,577,1584.5,21.0,17.5,35.0,7.5,0.0,0.22,1510.5,2,0,0,10.0
2403,593,1314.75,15.416666666666664,11.583333333333336,9.166666666666666,1.75,0.0,0.21000000000000005,341.4166666666667,12,0,0,10.0
