Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
2346,16,14.5,19,2.5,0.005,0.29,1771.5,0
3164.5,15.5,12,26,5,0.01,0.27,866,6.65
108202.5,29.1,22,4.9,6.4,0.02,0.247,192.4,0
3694,16,14,15,4,0.005,0.365,1121.5,0
79362.285714,2.571429,2.071429,3,2.071429,0.023571,0.122857,79.428571,9.28571
55616.75,12.5,5.875,14.5,5,0.00375,0.2425,556.625,5.83333
2126,13.5,5.5,43.5,10,0,0.29,1236,0
383.5,12.5,5,2.5,1,0,0.355,274,1.11111
91820.846154,2.615385,2,5,1.461538,0.000769,0.173077,130.923077,6.42857
111662.25,17.25,6.75,15.75,0,0.01,0.24,400.25,0
12362.857143,3.142857,2.714286,3.571429,1.642857,0.000714,0.115,94.642857,0
140,17,6,3,0,0,0.03,79,0
239,3.5,3.5,3.5,0.5,0,0.095,257.5,1.42857
986.5,4,4,13.5,2,0.005,0.195,631.5,0
114701.444444,11.666667,7.666667,10.222222,2.777778,0.003333,0.144444,415.666667,0
444.75,10.75,9,7,1.5,0.045,0.0825,226.5,3.33333
679,9,8.5,8.5,1,0,0.125,646.5,0
1480,17,17,10,3,0,0.21,1012,1.66667
1483,22.5,15,17,0.5,0.005,0.25,1212,0
933,13.5,13.5,24,5,0,0.2,788.5,0
2594,7,7,45,4,0,0.42,1925,0
507,8.5,6.5,4,1,0,0.17,270.5,1.81818
1248.5,10,9.5,5.5,1,0,0.305,662.5,0
886.25,16.5,12,6,2.25,0,0.225,444.5,0
2287,15,14,21.5,2.5,0,0.235,1028.5,0
128831.428571,13,10.285714,10.857143,1.857143,0,0.195714,520.285714,0
1571.5,7.5,6,21,6.5,0,0.17,573,0
1420.5,11.5,10.5,19,1,0,0.26,964.5,0
1500,15.5,15,11.5,1,0,0.215,739,0
28477.428571,4.071429,3.357143,5.142857,1.714286,0,0.228571,115.214286,0
78880.5,12.75,6,8.416667,1.166667,0.0075,0.295833,308.833333,0
6223.428571,9,6.142857,6.714286,1.285714,0.01,0.137143,203.285714,0
251.666667,8.333333,5.666667,4,1,0,0.103333,246.333333,0
121070.166667,13.833333,11.666667,15.5,3.666667,0.043333,0.211667,646.5,0
62222.777778,15.777778,8.777778,12.444444,3.777778,0.003333,0.233333,454.777778,0
822.666667,10,8.333333,4.666667,1,0.003333,0.166667,366,0
157433.444444,32,26.666667,22.666667,5.222222,0.008889,0.333333,1325.111111,7.77778
198091.166667,13.833333,11.833333,18,4.166667,0.005,0.278333,924,8.33333
1609.333333,21,18.666667,29,4.333333,0,0.25,1027.333333,0
142387.333333,18.75,12.25,15.416667,1.25,0.005833,0.2825,680.75,0
222719.75,12.375,8.375,27.625,1.625,0.0075,0.265,866.5,6.25
976.666667,13.666667,10,11,1,0,0.24,488,0
275796.090909,17.363636,12.818182,28.090909,5.727273,0.001818,0.218182,877.181818,0
540.666667,18.333333,13.666667,5.666667,1,0,0.153333,446,0
183247.9,15.3,11.7,34.6,2.2,0.004,0.29,970.2,0
63450.8,15.2,11.2,53.6,3.8,0,0.226,1393.4,0
4014,17.666667,14,31.333333,1.666667,0,0.24,1363,0
117056.5,21.625,12.875,7.75,2.375,0.00125,0.20625,343,0
34650.928571,3.714286,2.857143,4.214286,2.071429,0.015,0.200714,119.214286,0
216785.090909,12.454545,6.363636,23.727273,7,0.003636,0.25,594.818182,7.5
3074,10.333333,7.333333,27.333333,5.333333,0,0.236667,960.333333,0
112364.111111,16.555556,8.777778,10,2.666667,0.001111,0.207778,594.666667,0
30605.928571,2.928571,2.214286,4.071429,1.642857,0.017143,0.272143,110.642857,0
97393.416667,12.166667,6.333333,7.75,2.75,0,0.2325,363.583333,0
8418.285714,6.857143,6.571429,6.714286,1.285714,0.007143,0.152857,269.857143,0
2157,6.5,6,21.5,7,0.005,0.265,562,0
81306.333333,15.111111,9.222222,10.777778,2.555556,0.002222,0.218889,515.444444,0
218325.166667,15.666667,12.666667,35.5,11,0.045,0.138333,296,0
3743,10,9,20.5,4.5,0.01,0.355,940.5,0
928.444444,32.555556,28.222222,8.111111,3.333333,0.046667,0.387778,198.111111,0
1707,11,10,12.5,4,0.005,0.435,1027,0
215478,20.5,9,8.5,1,0,0.465,165,1.66667
75,2.428571,2.071429,2.071429,1.285714,0.012857,0.093571,49,0
165483.166667,19.166667,19.166667,15.333333,2.666667,0.003333,0.156667,1464,0
19718.555556,8.888889,8.444444,9,3,0.005556,0.207778,317.666667,0
106669.555556,30.777778,29.555556,14.444444,4.111111,0.005556,0.137778,1106.555556,0
1730.833333,19.833333,19.833333,12.333333,3,0.003333,0.12,800.666667,0
708.583333,9.166667,9.083333,12.083333,3.333333,0.003333,0.179167,359.416667,0
67581.875,10.375,10.375,19.25,1.875,0.00125,0.17875,543.125,8.75
10674,13,13,22.272727,2.909091,0.001818,0.177273,645.727273,0
2844.75,11.25,11.25,6.5,1,0.0025,0.1675,371.25,0
1018.8,12,11.6,11.2,1.4,0.004,0.258,575.2,0
13433.714286,2.642857,2.214286,3.428571,1.357143,0.042857,0.088571,88.357143,0
437.833333,10.166667,6.083333,4.333333,1.333333,0.011667,0.138333,166.5,0
53165,12.777778,8.555556,18,8.888889,0.011111,0.1,372.666667,0
41203,8.8,7.8,5.8,1,0.01,0.108,297,0
