Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
1401.0,8.5,5.5,9.5,1.0,0.0,0.16999999999999998,257.5,0.0
757.0,13.777777777777779,8.666666666666666,15.222222222222221,3.888888888888889,0.015555555555555557,0.3066666666666667,289.77777777777777,0.0
2069.3333333333335,15.166666666666666,12.5,25.0,4.666666666666667,0.006666666666666667,0.205,549.0,0.0
2155.0,11.0,8.5,22.5,2.5,0.0,0.31,772.0,0.0
111192.66666666667,22.0,17.0,17.0,2.5,0.13,0.08333333333333333,364.6666666666667,0.0
7743.888888888889,24.22222222222222,18.666666666666668,4.888888888888889,2.0,0.1522222222222222,0.10666666666666666,97.33333333333333,0.0
3166.5,20.5,17.0,11.5,1.5,0.0,0.255,1114.5,0.0
132.75,16.083333333333332,10.0,5.25,1.8333333333333333,0.11916666666666668,0.12,38.25,0.0
2067.0,13.2,9.6,19.0,3.6,0.004,0.244,421.0,4.5875
1715.5,11.5,9.0,28.0,5.5,0.005,0.38,480.5,0.0
9124.727272727272,15.363636363636363,13.727272727272727,26.545454545454547,6.7272727272727275,0.026363636363636367,0.19272727272727275,465.6363636363636,0.0
9.0,15.0,11.2,3.2,1.0,0.194,0.0,10.4,0.0
1299.0,16.0,12.0,5.0,0.5,0.01,0.155,357.0,0.0
153328.3,17.2,12.0,6.4,1.2,0.16299999999999998,0.066,114.5,0.0
409.6,14.6,10.8,2.8,1.6,0.164,0.02,14.2,0.0
2280.0,9.0,8.0,19.0,3.0,0.0,0.13,537.0,0.0
22.5,21.7,14.7,2.7,1.1,0.172,0.024,14.9,0.0
8.333333333333334,13.0,11.0,1.0,1.0,0.17,0.0,8.0,0.0
2939.0,17.0,15.0,13.0,0.5,0.0,0.265,457.0,0.0
12658.92857142857,2.4285714285714284,2.0714285714285716,6.142857142857143,6.0,0.025714285714285714,0.25214285714285717,200.0,0.0
108217.25,12.416666666666666,6.25,6.0,1.3333333333333333,0.10166666666666667,0.11166666666666665,196.66666666666666,0.0
5309.0,3.0,2.5,4.0,0.5,0.0,0.295,289.5,0.0
1968.0,6.0,6.0,34.0,4.0,0.0,0.25,1352.5,0.0
68054.55555555556,13.0,9.0,13.222222222222221,1.8888888888888888,0.003333333333333333,0.24333333333333332,739.1111111111111,0.0
44.0,9.666666666666666,9.333333333333334,2.0,0.6666666666666666,0.08666666666666667,0.043333333333333335,83.33333333333333,3.33333
3137.5,7.0,7.0,26.0,2.0,0.0,0.265,1437.0,0.0
76383.5,26.125,21.375,4.0,1.625,0.042499999999999996,0.1775,329.5,7.77778
2168.5,15.0,14.5,21.5,2.5,0.0,0.26,1199.0,0.0
792.0,14.8,13.2,3.8,1.4,0.01,0.31199999999999994,392.8,4.54545
43281.9,16.5,11.0,10.3,3.3,0.015000000000000003,0.179,353.5,0.0
1298.0,5.0,4.0,0.5,0.0,0.0,0.33,428.0,0.0
2604.5,12.5,10.5,6.5,1.0,0.0,0.26,1046.0,0.0
350.57142857142856,4.5,3.2142857142857144,3.5,1.8571428571428572,0.009285714285714286,0.2235714285714285,159.0,0.0
304027.1666666667,13.666666666666666,6.833333333333333,12.333333333333334,7.166666666666667,0.0,0.27666666666666667,791.5,3.33333
177.5,5.5,4.0,2.0,0.5,0.01,0.21000000000000002,278.0,1.42857
2044.5,9.5,7.0,32.5,3.0,0.0,0.315,1301.0,0.0
87336.66666666667,13.88888888888889,8.555555555555555,18.555555555555557,6.0,0.0011111111111111111,0.2288888888888889,926.7777777777778,7.777780000000001
781.0,11.6,10.2,8.2,3.4,0.046,0.11599999999999999,351.6,3.33333
1638.5,14.5,11.0,77.5,24.0,0.005,0.21000000000000002,1709.0,0.0
9985.75,23.75,19.25,42.75,11.5,0.0,0.20750000000000002,1957.5,4.44444
2468.0,21.5,15.5,69.5,17.5,0.0,0.21,2244.5,0.0
6578.0,12.2,8.2,25.0,3.2,0.002,0.256,1060.4,3.60833
2390.0,9.0,7.0,45.0,2.0,0.01,0.29,2738.0,0.0
1570.75,9.75,7.5,3.75,1.75,0.0,0.18000000000000002,431.0,2.72727
836.0,14.0,11.0,12.0,2.0,0.0,0.33,991.0,0.0
103.14285714285714,2.5,2.0714285714285716,2.857142857142857,1.4285714285714286,0.0,0.17214285714285713,60.5,0.0
314.7142857142857,5.714285714285714,5.714285714285714,5.571428571428571,1.5714285714285714,0.004285714285714286,0.18571428571428572,204.85714285714286,0.0
