Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
1234,216,5329.5,19.5,15.5,50.0,3.0,0.005,0.25,2436.0,0.0
1235,27,24132.85714285714,3.4285714285714284,3.4285714285714284,1.1428571428571428,1.2857142857142858,0.04714285714285714,0.20142857142857146,185.42857142857142,0.0
1235,42,184640.5,11.9,6.7,1.4,1.4,0.009,0.119,392.1,0.0
1235,48,1940.0,11.0,5.5,0.5,0.5,0.0,0.115,414.5,0.0
1235,74,96.33333333333333,5.666666666666667,4.0,1.6666666666666667,0.3333333333333333,0.0033333333333333335,0.26666666666666666,144.66666666666666,0.0
1235,94,3171.0,15.0,9.0,41.0,1.0,0.01,0.32,1554.0,0.0
1235,103,48008.0,42.44444444444444,36.77777777777778,3.6666666666666665,1.3333333333333333,0.17444444444444443,0.03222222222222222,51.44444444444444,0.0
1235,122,2080.0,22.0,21.0,17.0,0.0,0.01,0.26,1561.0,0.0
1235,131,62317.90909090909,14.090909090909092,11.0,6.636363636363637,1.8181818181818181,0.0872727272727273,0.06363636363636363,140.8181818181818,0.0
1235,148,3011.5,11.0,5.5,14.5,0.0,0.0,0.22,394.0,0.0
1235,163,27.0,5.0,1.0,0.0,0.0,0.0,0.0,61.0,0.0
1235,174,2583.5,19.0,18.0,37.5,15.0,0.0,0.195,776.0,0.0
1235,180,1134.3333333333333,19.666666666666668,13.666666666666666,4.0,7.333333333333333,0.0,0.14333333333333334,851.6666666666666,0.0
1235,197,4213.0,18.0,13.5,9.0,7.0,0.0,0.28500000000000003,1368.5,0.0
1235,205,4353.8,31.8,21.9,2.9,1.5,0.10300000000000001,0.008,72.6,0.0
1235,216,4323.0,25.0,21.0,0.0,4.0,0.0,0.29,1408.0,0.0
1236,27,266522.75,6.25,5.25,3.0,3.0,0.0,0.135,411.75,0.0
1236,42,54094.77777777778,9.222222222222221,5.777777777777778,1.3333333333333333,1.2222222222222223,0.003333333333333333,0.1877777777777778,376.3333333333333,0.0
1236,48,2336.0,5.0,4.0,0.0,0.0,0.0,0.49,1133.0,0.0
1236,74,253288.85714285713,10.285714285714286,8.142857142857142,11.428571428571429,3.4285714285714284,0.011428571428571429,0.3271428571428571,543.7142857142857,0.0
1236,94,1283.5,10.0,7.5,30.5,9.5,0.0,0.16999999999999998,448.5,0.0
